,wd_loss,wg_loss
79,-4.0442399978637695,-6.325196266174316
80,-3.9121766090393066,-7.3799591064453125
81,-3.292055606842041,-4.377326011657715
82,-3.5081546306610107,-4.494640827178955
83,-3.763997793197632,-4.323392391204834
84,-3.518314838409424,-5.69335412979126
85,-3.2566938400268555,-6.034970283508301
86,-3.253727912902832,-7.045838832855225
87,-3.619568347930908,-6.911386489868164
88,-3.511113166809082,-6.354012489318848
89,-3.2063183784484863,-6.162966251373291
90,-3.250185251235962,-6.278756618499756
91,-2.8842310905456543,-6.433592796325684
92,-3.322295665740967,-4.986162185668945
93,-3.924543857574463,-6.080942153930664
94,-3.078383684158325,-5.803184509277344
95,-3.6200897693634033,-6.170237064361572
96,-3.9657182693481445,-6.659331798553467
97,-3.2019195556640625,-6.804032325744629
98,-3.078056812286377,-5.475961685180664
99,-3.3125500679016113,-4.670661926269531
100,-3.397789478302002,-3.5578112602233887
101,-2.7662956714630127,-4.677432060241699
102,-2.73445987701416,-3.4232845306396484
103,-2.9716148376464844,-3.4225246906280518
104,-3.074211835861206,-2.058134078979492
105,-3.636545419692993,-2.4822354316711426
106,-3.446199893951416,-3.246737480163574
107,-2.9427080154418945,-3.512092113494873
108,-3.4182076454162598,-2.5736870765686035
109,-3.626432418823242,-5.026071548461914
110,-2.7193374633789062,-4.446804046630859
111,-3.0625693798065186,-3.4898934364318848
112,-3.098806858062744,-3.9684441089630127
113,-3.375014305114746,-4.964742660522461
114,-2.7600626945495605,-3.5653152465820312
115,-3.092106342315674,-3.1141114234924316
116,-2.870558738708496,-3.1257314682006836
117,-2.8927056789398193,-2.880023241043091
118,-3.1244797706604004,-3.6978917121887207
119,-2.735598087310791,-2.713155746459961
120,-2.9429993629455566,-1.9621002674102783
121,-3.070591688156128,-4.157506465911865
122,-2.830284357070923,-3.807457447052002
123,-2.828989267349243,-3.353036403656006
124,-2.8845107555389404,-2.827568531036377
125,-2.9563369750976562,-2.094254493713379
126,-3.064537286758423,-2.8505983352661133
127,-2.9271202087402344,-2.2455272674560547
128,-3.3994593620300293,-2.1471352577209473
129,-2.3122012615203857,-3.0201704502105713
130,-2.9174046516418457,-2.473942279815674
131,-3.003767251968384,-2.0254437923431396
132,-2.5902516841888428,-2.544024705886841
133,-3.1876742839813232,-2.8534469604492188
134,-3.0856688022613525,-4.1655120849609375
135,-2.8638789653778076,-2.9158856868743896
136,-2.715060234069824,-2.899869203567505
137,-3.2082083225250244,-2.285280704498291
138,-2.8110287189483643,-2.5204577445983887
139,-2.918783664703369,-2.037062168121338
140,-3.194772243499756,-1.6282339096069336
141,-3.105132579803467,-2.1958200931549072
142,-2.9811978340148926,-4.754004955291748
143,-2.5752689838409424,-3.605407238006592
144,-2.755150318145752,-4.77740478515625
145,-2.5801448822021484,-3.7426137924194336
146,-2.7746965885162354,-3.648658275604248
147,-3.0204458236694336,-3.893153190612793
148,-2.723942518234253,-4.6774516105651855
149,-2.7296245098114014,-5.160973072052002
150,-2.8466591835021973,-4.9437971115112305
151,-2.2985572814941406,-4.369104385375977
152,-2.4757301807403564,-4.129081726074219
153,-3.1110613346099854,-3.7634997367858887
154,-2.8087661266326904,-4.000213623046875
155,-2.6947755813598633,-4.717929840087891
156,-2.510373830795288,-3.298029899597168
157,-2.7048826217651367,-3.857146739959717
158,-2.5666024684906006,-3.676923990249634
159,-2.718398332595825,-3.593217372894287
160,-2.7545135021209717,-2.991069793701172
161,-2.7288434505462646,-3.3057475090026855
162,-2.6153972148895264,-3.977999448776245
163,-2.159400463104248,-3.2227888107299805
164,-2.573547840118408,-3.339705467224121
165,-2.430084228515625,-3.730102777481079
166,-2.653435230255127,-5.112980842590332
167,-2.397580623626709,-4.711813926696777
168,-2.6868271827697754,-3.641568660736084
169,-3.357387065887451,-3.1542012691497803
170,-2.7185721397399902,-3.7348461151123047
171,-2.2000982761383057,-3.3268508911132812
172,-2.5136563777923584,-2.3859968185424805
173,-2.4295568466186523,-2.8106298446655273
174,-2.6614623069763184,-3.5983474254608154
175,-2.669785261154175,-3.8810062408447266
